MLM,AlogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_RotatableBonds,LogD,Molecular_PolarSurfaceArea,AtomStereoCenters,F_counts,Cl_counts,Br_counts,EStateIndices,Chi0vs,Kappa1s,Complexities,HK_alphas,Diameters,AtomicNums,TotalValences,Degrees,Hybridizations,AromaticCount,InRingCount,DoubleBondCount,hydroxyl,amines,carboxylic_acids,epoxides,alkyl_groups,methyl_groups_NS,MACCS_bit_1,MACCS_bit_2,MACCS_bit_3,MACCS_bit_4,MACCS_bit_5,MACCS_bit_6,MACCS_bit_7,MACCS_bit_8,MACCS_bit_9,MACCS_bit_10,MACCS_bit_11,MACCS_bit_12,MACCS_bit_13,MACCS_bit_14,MACCS_bit_15,MACCS_bit_16,MACCS_bit_17,MACCS_bit_18,MACCS_bit_19,MACCS_bit_20,MACCS_bit_21,MACCS_bit_22,MACCS_bit_23,MACCS_bit_24,MACCS_bit_25,MACCS_bit_26,MACCS_bit_27,MACCS_bit_28,MACCS_bit_29,MACCS_bit_30,MACCS_bit_31,MACCS_bit_32,MACCS_bit_33,MACCS_bit_34,MACCS_bit_35,MACCS_bit_36,MACCS_bit_37,MACCS_bit_38,MACCS_bit_39,MACCS_bit_40,MACCS_bit_41,MACCS_bit_42,MACCS_bit_43,MACCS_bit_44,MACCS_bit_45,MACCS_bit_46,MACCS_bit_47,MACCS_bit_48,MACCS_bit_49,MACCS_bit_50,MACCS_bit_51,MACCS_bit_52,MACCS_bit_53,MACCS_bit_54,MACCS_bit_55,MACCS_bit_56,MACCS_bit_57,MACCS_bit_58,MACCS_bit_59,MACCS_bit_60,MACCS_bit_61,MACCS_bit_62,MACCS_bit_63,MACCS_bit_64,MACCS_bit_65,MACCS_bit_66,MACCS_bit_67,MACCS_bit_68,MACCS_bit_69,MACCS_bit_70,MACCS_bit_71,MACCS_bit_72,MACCS_bit_73,MACCS_bit_74,MACCS_bit_75,MACCS_bit_76,MACCS_bit_77,MACCS_bit_78,MACCS_bit_79,MACCS_bit_80,MACCS_bit_81,MACCS_bit_82,MACCS_bit_83,MACCS_bit_84,MACCS_bit_85,MACCS_bit_86,MACCS_bit_87,MACCS_bit_88,MACCS_bit_89,MACCS_bit_90,MACCS_bit_91,MACCS_bit_92,MACCS_bit_93,MACCS_bit_94,MACCS_bit_95,MACCS_bit_96,MACCS_bit_97,MACCS_bit_98,MACCS_bit_99,MACCS_bit_100,MACCS_bit_101,MACCS_bit_102,MACCS_bit_103,MACCS_bit_104,MACCS_bit_105,MACCS_bit_106,MACCS_bit_107,MACCS_bit_108,MACCS_bit_109,MACCS_bit_110,MACCS_bit_111,MACCS_bit_112,MACCS_bit_113,MACCS_bit_114,MACCS_bit_115,MACCS_bit_116,MACCS_bit_117,MACCS_bit_118,MACCS_bit_119,MACCS_bit_120,MACCS_bit_121,MACCS_bit_122,MACCS_bit_123,MACCS_bit_124,MACCS_bit_125,MACCS_bit_126,MACCS_bit_127,MACCS_bit_128,MACCS_bit_129,MACCS_bit_130,MACCS_bit_131,MACCS_bit_132,MACCS_bit_133,MACCS_bit_134,MACCS_bit_135,MACCS_bit_136,MACCS_bit_137,MACCS_bit_138,MACCS_bit_139,MACCS_bit_140,MACCS_bit_141,MACCS_bit_142,MACCS_bit_143,MACCS_bit_144,MACCS_bit_145,MACCS_bit_146,MACCS_bit_147,MACCS_bit_148,MACCS_bit_149,MACCS_bit_150,MACCS_bit_151,MACCS_bit_152,MACCS_bit_153,MACCS_bit_154,MACCS_bit_155,MACCS_bit_156,MACCS_bit_157,MACCS_bit_158,MACCS_bit_159,MACCS_bit_160,MACCS_bit_161,MACCS_bit_162,MACCS_bit_163,MACCS_bit_164,MACCS_bit_165,MACCS_bit_166,MACCS_bit_167
26.01,0.2590073984329001,0.46045216031186526,0.6508936550188582,0.9234175908628035,1.4590409715052317,0.34608750447123565,1.3043017675261321,-0.5832927777939788,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.45341842590999604,0.6836235078429295,0.6498872550199302,0.20416757549297196,-0.4080278191494125,0.5331011500209846,0.480248653227949,0.4015855120190362,0.3500975330731853,0.4044281744426449,0.42170300869869465,-0.26909002708576024,-0.5101679779543603,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,0.23005275581825052,-0.12371256061202535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
29.27,-0.41883267274053326,-0.7856924137123726,-1.3347104193322745,-0.10103998377661516,-1.086669553887719,-0.3060769897928618,-0.21762023140278863,0.5668527333240246,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.42629257677539206,-0.5286152174579857,-0.7758947511096599,-0.7782050229364952,0.7349342245496396,-0.691792053081862,-0.8030840312950693,-0.7039082532577572,-0.7537510627071415,-0.7772999871706063,-0.4723073697425381,-0.26909002708576024,-0.5101679779543603,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,-0.03130630226951825,0.3361668623644515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
5.586,-0.7770307287000725,-0.836613205132364,0.6508936550188582,-1.1254975584160338,-0.6623844663222271,-0.6582578160421952,-0.5996607878537386,-0.5832927777939788,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.37550916799177914,-0.7270116042089682,-0.9444621834611701,-0.40205791239769223,0.27313137861062925,-0.7016562227961172,-0.857693932764134,-0.511648467992228,-0.43836574962704816,-0.5087254049857766,-0.11470321836604502,0.2701176766068052,-1.301550499854295,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,0.23005275581825052,1.2559257083174051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0
5.71,1.1992772953266904,1.6445837873141271,1.3127616798025692,-1.1254975584160338,0.18618570880875646,0.47568044905361395,0.4455772136885609,-0.5832927777939788,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.4230974274408796,2.0215154954847123,1.684183548790398,1.2625430757135878,-0.11940104043752994,1.77733272054187,1.6270565840783058,1.9396637941432704,1.7693314419336055,2.0158756675516236,0.6005050843869413,2.067476688915357,0.28121454394557427,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,1.7982071043448633,1.2559257083174051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0
93.27,-0.31560198300219394,-1.2019249238698102,-0.6728423945485635,-1.1254975584160338,-1.5109546414532107,-0.20708237934798956,-1.2937126880486587,0.5668527333240246,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.4329250543565549,-1.0789573607243597,-1.1225106551902388,-0.915466186209399,0.1807708094228271,-1.0286737906581431,-1.212658292313054,-0.8481030922069042,-0.9114437192471881,-1.045874569355436,-0.2935052940542916,-0.26909002708576024,-0.5101679779543603,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,-0.5540244184450558,-0.12371256061202535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
27.64,-0.9374736079319493,0.6984807647095397,-0.010974369764852663,-0.10103998377661516,1.03475588393974,-0.8082496500495774,-0.0276399909897934,-0.5832927777939788,2.993133018210683,-0.4005489781980257,-0.27319313570360026,-0.6384531939259398,0.49857881028212986,0.7552876121366899,0.5982204054997228,-0.5234785306341642,0.6418457318793455,0.7259932098387398,0.5457803509681831,0.8231755026933254,0.9952922552492705,-0.6511094454307848,0.09038177537595006,1.0725970658455088,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,1.014129930081557,1.2559257083174051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
82.107,-0.5525350721004307,2.31181090235183,1.97462970458628,2.972332740141641,1.8833260590707235,-1.3308211997312969,2.242069195112175,0.5668527333240246,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.48115632457816276,-0.1847030230108028,0.35657902705891165,0.06286245039745912,-0.154036253882955,-0.19562310689733195,0.09797934294449676,-0.17519384377755168,-0.28067309308700145,-0.13272098992701475,-0.6511094454307848,-1.3475054344708912,1.8639795877454433,3.0168621172974714,1.2835851199827555,8.7977934382038,-0.02391824366174699,-0.5540244184450558,0.3361668623644515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
2.673,0.07742088395341161,-0.8871064077876533,-0.6728423945485635,-1.1254975584160338,-1.086669553887719,0.1708970423506134,-0.40101356567007745,-0.5832927777939788,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.5326850224904217,-0.9902864633877083,-1.2584597807290494,-0.2559224837412623,-0.16558132503143053,-0.7905312620031987,-0.8030840312950693,-0.7039082532577572,-0.5960584061670948,-1.0995894857924022,0.42170300869869465,0.2701176766068052,0.28121454394557427,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,-1.5994606507961309,-1.043471406564979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0
74.519,-2.3559627843967212,-0.2077055890960726,1.97462970458628,0.9234175908628035,-0.6623844663222271,-2.0429824275983473,0.8716460375344935,-0.5832927777939788,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.5146411961075257,-1.0347906533285607,-1.227410448031664,-0.9087529980485893,0.8157497225889663,-1.1755833587321924,-1.4037929474547801,-0.9922979311560511,-1.069136375787235,-1.045874569355436,-0.8299115211190313,-0.4488259283166154,-0.5101679779543603,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,-0.03130630226951825,0.3361668623644515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
73.417,-0.9847358514266108,-0.08085006352100324,0.6508936550188582,0.9234175908628035,0.18618570880875646,-1.8329938599880122,0.35682732035694315,1.716998244442028,-0.3301424294011149,-0.4005489781980257,-0.27319313570360026,-0.38537234962448064,0.08247030905348783,-0.006533170558334336,-0.49864692091446333,0.34240180550148036,0.07434532229371488,-0.147765213666294,0.16126078043712458,0.19240487653313862,0.4044281744426449,-0.8299115211190313,0.44985357783766033,-0.5101679779543603,-0.37256575689766425,-0.5535592129549199,-0.20855173207331223,-0.02391824366174699,1.5368480462570944,2.175684554270359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
